total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
7470396,276980.4348,3232.326087,3034172.957,2621436,19102473.02,3528640.152,15573832.87,8,2626086.957,495.8695652,-1104.5,4225,20,5574,26011.14068,s10
7470396,299917.7778,3256,3035166.044,2621436,19455103.42,4526503.244,14928600.18,8,2573377.778,1337.911111,-1032.6,4139,20,5433,23220.2693,s10
7470396,328822.2439,3284.853659,3035180.293,2621436,11228504.98,3429906.927,7798598.049,8,2508926.829,2114.097561,-1174.853659,4139,20,5176,25169.43506,s10
7470396,309018.6087,3265.23913,3035203.391,2621436,20639413.61,3088542.13,17550871.48,8,2583478.261,2883.065217,-998.9130435,4139,20,4669,19303.98558,s10
7470396,304583.4894,3260.382979,3035224.596,2621436,19640725.85,4425935.553,15214790.3,8,2606680.851,3690.340426,-1001.340426,4139,20,5109,21174.49584,s10
7470396,305708.4348,3261.869565,3035239.913,2621436,19600640.67,6862084.674,12738556,8,2563695.652,4503.369565,-1046.847826,4139,20,5258,22782.40477,s10
7470396,227494.3226,2934.516129,2778310.065,2621436,19651198.27,2778865.538,16872332.73,8,2596021.505,942.2688172,-1040.483871,4135,20,5452,23456.6892,s10
7470396,400690.8889,3103.877778,2778208.533,2621436,20347450.04,3085168.089,17262281.96,8,2596555.556,1784.233333,-1037.466667,4135,20,5137,22037.34301,s10
7470396,576096.4045,3275.404494,2778357.079,2621436,16085563.61,2425695.112,13659868.49,8,2531191.011,2601.494382,-1084.179775,4135,20,5058,22675.43569,s10
7470396,604582.0909,3303.579545,2778534.909,2621436,15372946.34,3191455.795,12181490.55,8,2547681.818,3385.352273,-1072.795455,4135,20,5179,22974.09167,s10
7470396,636161.2043,3334.150538,2778678.667,2621436,19459884.49,4133914.258,15325970.24,8,2612537.634,4181.763441,-1013.043011,4135,20,5140,21531.11485,s10
7470396,671996.5843,3369.179775,2778815.685,2621436,20723182.4,3619728.292,17103454.11,8,2620337.079,4956.134831,-1026.067416,4135,20,4748,20144.76105,s10
7470396,674523.0435,3371.728261,2778843.478,2621436,20135372.46,3437700.804,16697671.65,8,2610347.826,5792.326087,-1029.73913,4135,20,5159,21966.87396,s10
7470396,671015.3778,3368.055556,2778886,2621436,20241607.59,3772731.411,16468876.18,8,2614244.444,6584.744444,-1044.133333,4135,20,5006,21613.36161,s10
7470396,666063.2527,3363.703297,2778965.582,2621436,17008853.09,3892131.945,13116721.14,8,2572527.473,7361.065934,-1088.164835,4118.186813,20,5053,22643.83748,s10
7470396,659064.4944,3357.179775,2779083.461,2621436,16984569.93,3934772.809,13049797.12,8,2566157.303,8019.269663,-1063.797753,4101.853933,20,5263,22965.32679,s10
7470396,627480.3043,3327.793478,2781293.957,2621436,20177433.79,4633885.88,15543547.91,8,2604282.609,4485.054348,-1034.032609,4139,20,5119,21908.60829,s10
