total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
3622616,140113.037037037,2122.43518518519,2033752.22222222,2097148,6136352.71296296,984570.416666667,5151782.2962963,8,2373944.44444444,1263.75,96,3815,20,13486,4939.11264,s7
3622616,144027.911111111,2111.24444444444,2018547.06666667,2097148,6306855.76666667,895495.855555556,5411359.91111111,8,2321511.11111111,3242.86666666667,96,3811,20,10982,4017.830592,s7
3622616,144662.652631579,2112.22105263158,2018685.26315789,2097148,6520318.69473684,1024659.24210526,5495659.45263158,8,2184000,5090.17894736842,-615.578947368421,3811,20,11597,27206.2299595789,s7
3622616,144711.807692308,2112.20192307692,2018818.76923077,2097148,6512288.52884615,901196.067307692,5611092.46153846,8,2056000,7033.23076923077,-1204,3703,20,12402,55293.225624,s7
3622616,155306.422018349,2123.56880733945,2019785.17431193,2097148,6454413.59633028,993970.220183486,5460443.37614679,8,1968366.97247706,9063.67889908257,-1158.3119266055,3703,20,12857,55146.6180786789,s7
3622616,163687.31147541,2133.27049180328,2021411.37704918,2097148,6634490.80327869,988582.409836066,5645908.39344262,8,1768000,11240.4098360656,-872,3703,20,14435,46610.84596,s7
3622616,166704.677419355,2136.32258064516,2021435.19354839,2097148,7088233.92741936,1070937.08870968,6017296.83870968,8,1761290.32258065,13573.4596774194,-851.354838709677,3719,20,14612,46264.3484830968,s7
3622616,135762.330097087,2106.44660194175,2021611.88349515,2097148,6481531.32038835,772373.708737864,5709157.61165049,8,2166834.95145631,15675.5436893204,-552,3719,20,11888,24404.732544,s7
3622616,119589.411764706,2090.70588235294,2021832,2097148,6367094.96470588,1233933.27058824,5133161.69411765,8,2592658.82352941,17391.6941176471,-552,3744,20,10002,20671.013376,s7
3622616,119924.981132075,2091.2358490566,2022088.33962264,2097148,6652701.69811321,845880.566037736,5806821.13207547,8,2091773.58490566,19175.320754717,-595.452830188679,3744,20,12376,27590.7499036981,s7
3622616,120405.344537815,2091.71428571429,2022172,2097148,6832201.16806723,857610.915966387,5974590.25210084,8,1835294.11764706,21266.4537815126,-650,3744,20,13959,33970.6224,s7
3622616,143091.127819549,2113.89473684211,2022184,2097148,6942195.19548872,1217977.9924812,5724217.20300752,8,1664000,23591.6390977444,-671.172932330827,3718,20,15505,38691.5020221053,s7
3622616,96027.3580246914,2016.35802469136,1969312,2097148,6116063.85185185,1099505.43209877,5016558.41975309,8,2600000,3043.20987654321,-780,3815,20,9971,29670.7047,s7
3622616,97832.987654321,2018.50617283951,1969320,2097148,6516533.07407407,1239722.90123457,5276810.17283951,8,2600000,4658.24691358025,-1306,3683,20,9896,47599.740208,s7
3622616,96375.6585365854,2016.91463414634,1969046.14634146,2097148,6551097.96341464,1167313.67073171,5383784.29268293,8,2545463.41463415,6281.54878048781,-1306,3683,20,10035,48268.32993,s7
3622616,83202.0173913044,2001.91304347826,1967249.49565217,2097148,7201012.13913044,1166780.4173913,6034231.72173913,8,1995895.65217391,8070.32173913044,-1306,3683,20,34933,168027.660134,s7
3622616,81762.9411764706,2000.42156862745,1966771.96078431,2097148,7090832.80392157,1160562.05882353,5930270.74509804,8,2080000,10096.5882352941,-1306,3773,20,12059,59421.180742,s7
3622616,77626.862745098,1995.78431372549,1966784,2097148,6504358.06862745,979428.107843137,5524929.96078431,8,2080000,12017.9019607843,-1231,3773,20,12011,55785.846193,s7
3622616,80845.5445544554,1997.69306930693,1965477.14851485,2097148,6649356.76237624,1111021,5538335.76237624,8,2076910.89108911,13938.4356435644,-1136,3773,20,11950,51219.2296,s7
3622616,92121.8556701031,2006.42268041237,1963019.87628866,2097148,6461082.24742268,1206353.01030928,5254729.2371134,8,2236536.08247423,15788.3608247423,-1136,3685,20,11285,47240.8156,s7
3622616,90602.1106382979,2002.86382978723,1960959.11489362,2097148,7866017.05106383,1191754.8212766,6674262.22978723,8,1171659.57446809,18696.5191489362,-763.514893617021,3685,20,1464725,4121080.51415851,s7
3622616,82090.0606060606,1996.58874458874,1962965.28138528,2097148,8398392.34632035,1148424.34632035,7249968,8,1126554.11255411,22768.2337662338,-146.402597402597,3685,20,1162660,627247.595757143,s7
3622616,88468.4173913043,2001.70869565217,1961947.72173913,2097148,8494017.13913043,1250891.57391304,7243125.56521739,8,1154173.91304348,26880.4173913043,-164.626086956522,3781,20,1091977,679702.432004209,s7
3622616,75231.4934497817,1984.84716157205,1957758.86462882,2097148,8151539.81222707,1166354.72925764,6985185.08296943,8,1188506.55021834,30867.8602620087,-79,3754,20,70796,20995.686536,s7
3622616,74483.1759656652,1992.88841201717,1966740.34334764,2097148,8737279.84549356,1240669.30472103,7496610.54077253,8,1108068.6695279,34977.1459227468,-148.695278969957,3778,20,2289627,1286245.50894711,s7
3622616,70107.1929824561,1988.31578947368,1966416.43859649,2097148,8729185.53070175,1127944.44298246,7601241.0877193,8,1184596.49122807,39088.3859649123,-139.561403508772,3759,20,1129737,592672.814066053,s7
3622616,80012.5217391304,1994.86086956522,1963336.85217391,2097148,8146641.62173913,1505330.7,6641310.92173913,8,1177460.86956522,43089.152173913,-51.7608695652174,3768,20,62741,12236.6882071304,s7
3622616,89087.1551724138,2008.09051724138,1967723.36206897,2097148,8491928.17241379,893871.310344828,7598056.86206897,8,1100293.10344828,47170.7413793104,-246.599137931034,3772,20,2255390,2097900.5104219,s7
3622616,84341.4127659574,2003.77021276596,1968070.48510638,2097148,8246276.22978723,1340998.61276596,6905277.61702128,8,1131719.14893617,51309.2382978723,-259.276595744681,3769,20,3450846,3372213.26090987,s7
3622616,77908.7256637168,1993.38495575221,1963864.10619469,2097148,8399926.20353982,1196034.38053097,7203891.82300885,8,1273194.69026549,55367.5530973451,-218.672566371681,3762,20,957204,787440.228142301,s7
3622616,91445.5652173913,1994.35217391304,1951223.46086957,2097148,8608540.08695652,1244620.08695652,7363920,8,1121730.43478261,59354.1869565217,-173.713043478261,3752,20,2345611,1528802.02254908,s7
3622616,125347.515151515,2029.30303030303,1953180.84848485,2097148,8499293.86580087,1272014.62770563,7227279.23809524,8,1105956.70995671,63452.0043290043,-48.4242424242424,3745,20,1658554,300776.757531515,s7
3622616,117339.98245614,2021.59210526316,1953338.89473684,2097148,8554856.84649123,1165960.60087719,7388896.24561404,8,1091885.96491228,67509.8947368421,-130.526315789474,3745,20,1816736,888058.803873684,s7
3622616,130878.827586207,2035.00431034483,1953562.98275862,2097148,8508951.62068965,871068.456896552,7637883.1637931,8,1092336.20689655,71617.6810344828,-131.797413793103,3752,20,3451129,1706596.73800266,s7
3622616,128308.936170213,2032.68085106383,1953616.85106383,2097148,8310390.56595745,1150985.42553192,7159405.14042553,8,1115787.23404255,75782.6085106383,-175.31914893617,3746,20,3450960,2266402.56081702,s7
3622616,111046.991452991,2015.86752136752,1953734.03418803,2097148,8312014.64102564,1178027.01709402,7133987.62393162,8,1222111.11111111,79909.6495726496,-308.538461538462,3733,20,1190170,1370806.95313154,s7
3622616,87100,1992.60698689956,1953864.61135371,2097148,8455169.12227074,1192310.6069869,7262858.51528384,8,1123676.8558952,83923.4323144105,-345.034934497817,3749,20,1753187,2267810.44564113,s7
3622616,81932.1913043478,1987.69565217391,1953999.26956522,2097148,8711386.75217391,1123444.06956522,7587942.6826087,8,1107147.82608696,88011.7434782609,-408.139130434783,3741,20,1728837,2639672.15764445,s7
3622616,81142.2832618026,1987.02575107296,1953976.03433476,2097148,8375286.99141631,984932.862660944,7390354.12875537,8,1139313.30472103,92074.1201716738,-114.154506437768,3735,20,2242935,956313.650045279,s7
3622616,82913.9404255319,1988.68085106383,1954017.92340426,2097148,8758713.65106383,974719.744680851,7783993.90638298,8,1111582.9787234,96197.485106383,-128.276595744681,3742,20,3450296,1656180.10666655,s7
3622616,77858.9090909091,1983.38961038961,1953550.44155844,2097148,8403336.45887446,1197652.68398268,7205683.77489178,8,1125541.12554113,100327.930735931,-120.272727272727,3718,20,1267107,566617.305618,s7
3622616,95676,1997.92274678112,1950796.53218884,2097148,8612613.50214592,1012830.53218884,7599782.96995708,8,1081287.55364807,104448.266094421,-316.772532188841,3724,20,2204428,2600477.54022565,s7
3622616,90218.4170212766,1992.74893617021,1950833.41276596,2097148,8603993.8893617,1057689.61702128,7546304.27234043,8,1089676.59574468,108639.336170213,-240.906382978723,3725,20,3450917,3096771.04830096,s7
3622616,88133.2255319149,1993.2,1953475.45531915,2097148,8114919.2,1279627.11489362,6835292.08510638,8,1146987.23404255,112825.09787234,-119.787234042553,3727,20,3448273,1539471.20939851,s7
3697308,255080.436363636,1477.76363636364,1258768.87272727,2097148,11835467.3090909,1884916.76363636,9950550.54545455,8,2163200,5325.81818181818,-1056.47272727273,3755,20,6211,24639.3791696364,s9
3697308,254570.307692308,1477.15384615385,1258797.23076923,2097148,10868980.4615385,2095717.84615385,8773262.61538462,8,2212250,6165.82692307692,-1142,3755,20,5483,23512.25543,s9
3697308,253228.280701754,1476.47368421053,1258804.98245614,2097148,11419835.6491228,2021445.05263158,9398390.59649123,8,2196315.78947368,7064.19298245614,-1142,3755,20,6376,27341.62696,s9
3697308,247383.142857143,1473.16071428571,1261716.42857143,2097148,12296972.875,3273361.44642857,9023611.42857143,8,2218357.14285714,7951.75,-1160.5,3749.64285714286,20,6397,27836.2930469643,s9
3697308,236148.603773585,1466.35849056604,1266194.86792453,2097148,13848383.3018868,3864173.49056604,9984209.81132076,8,2292415.09433962,8710.45283018868,-1179,3725,20,5550,24374.35125,s9
3697308,235269.754385965,1466.38596491228,1266994.80701754,2097148,11086869.1929825,2796113.54385965,8290755.64912281,8,2223912.28070175,9610.21052631579,-1179,3725,20,6509,28586.063475,s9
3697308,235214.074074074,1466.66666666667,1267000.81481481,2097148,11552806.3703704,2439497.62962963,9113308.74074074,8,2133685.18518519,10555.2037037037,-1017.11111111111,3725,20,5625,21311.65625,s9
3697308,229343.764705882,1463.66666666667,1270380.70588235,2097148,11411578.4117647,2457498.25490196,8954080.15686274,8,2217901.96078431,11446.1764705882,-897,3725,20,5268,17602.1001,s9
3697308,222375.719298246,1459.9298245614,1273346.24561404,2097148,11973891.6140351,2943967.8245614,9029923.78947369,8,2213877.19298246,12288.649122807,-897,3725,20,6534,21832.21755,s9
