starttime,endtime,label,value,average
1609587480131,1609587480964,5,833,725.1
1609587482451,1609587483218,5,767,
1609587486090,1609587486778,5,688,
1609587487781,1609587488518,5,737,
1609587490448,1609587491174,5,726,
1609587493680,1609587494427,5,747,
1609587496135,1609587496849,5,714,
1609587498021,1609587498729,5,708,
1609587499950,1609587500632,5,682,
1609587501890,1609587502539,5,649,
1609587508584,1609587511046,10,2462,2484.09090909091
1609587512181,1609587514645,10,2464,
1609587516269,1609587518773,10,2504,
1609587519744,1609587522194,10,2450,
1609587523353,1609587525845,10,2492,
1609587526781,1609587529301,10,2520,
1609587530157,1609587532626,10,2469,
1609587533433,1609587535996,10,2563,
1609587536996,1609587539478,10,2482,
1609587540323,1609587542747,10,2424,
1609587543616,1609587546111,10,2495,
1609587551289,1609587556704,15,5415,5457.66666666667
1609587558824,1609587564328,15,5504,
1609587565431,1609587570892,15,5461,
1609587572515,1609587577929,15,5414,
1609587579020,1609587584455,15,5435,
1609587585596,1609587591146,15,5550,
1609587592409,1609587597893,15,5484,
1609587600037,1609587605457,15,5420,
1609587609895,1609587615340,15,5445,
1609587617164,1609587622581,15,5417,
1609587624893,1609587630318,15,5425,
1609587632439,1609587637961,15,5522,
1609587648364,1609587658168,20,9804,9764.11111111111
1609587659984,1609587669747,20,9763,
1609587671110,1609587680792,20,9682,
1609587682038,1609587691741,20,9703,
1609587716491,1609587726290,20,9799,
1609587728903,1609587738754,20,9851,
1609587740137,1609587749914,20,9777,
1609587752517,1609587762266,20,9749,
1609587763840,1609587773589,20,9749,
1609587780464,1609587795893,25,15429,15362.25
1609587798346,1609587813647,25,15301,
1609587827623,1609587842946,25,15323,
1609587844805,1609587860293,25,15488,
1609587898560,1609587914131,25,15571,
1609587917341,1609587932506,25,15165,
1609587934852,1609587950158,25,15306,
1609587952293,1609587967608,25,15315,
