starttime,endtime,label,value
1609585691870,1609585692332,5,462
1609585694198,1609585694604,5,406
1609585695714,1609585696135,5,421
1609585697185,1609585697598,5,413
1609585698908,1609585699322,5,414
1609585700366,1609585700765,5,399
1609585701845,1609585702258,5,413
1609585703314,1609585703737,5,423
1609585704719,1609585705130,5,411
1609585706090,1609585706493,5,403
1609585711629,1609585713072,10,1443
1609585714520,1609585715924,10,1404
1609585716814,1609585718256,10,1442
1609585719515,1609585720935,10,1420
1609585722020,1609585723434,10,1414
1609585724640,1609585726025,10,1385
1609585726868,1609585728272,10,1404
1609585729085,1609585730528,10,1443
1609585731724,1609585733164,10,1440
1609585733930,1609585735341,10,1411
1609585739901,1609585743315,15,3414
1609585744163,1609585747522,15,3359
1609585748430,1609585751603,15,3173
1609585752489,1609585755726,15,3237
1609585756660,1609585760021,15,3361
1609585767651,1609585770890,15,3239
1609585773602,1609585776927,15,3325
1609585777970,1609585781133,15,3163
1609585782030,1609585785247,15,3217
1609585786056,1609585789175,15,3119
1609585790003,1609585793308,15,3305
1609585794173,1609585797325,15,3152
1609585823010,1609585829172,20,6162
1609585830961,1609585837061,20,6100
1609585838101,1609585844096,20,5995
1609585845450,1609585851777,20,6327
1609585852924,1609585859058,20,6134
1609585860056,1609585866072,20,6016
1609585866975,1609585872847,20,5872
1609585879413,1609585885441,20,6028
1609585887015,1609585893010,20,5995
1609585900161,1609585906194,20,6033
1609585911616,1609585917551,20,5935
1609585923351,1609585929586,20,6235
1609585936713,1609585946081,25,9368
1609585954305,1609585963875,25,9570
1609585966306,1609585975604,25,9298
1609585977210,1609585986433,25,9223
1609585988152,1609585997769,25,9617
1609586002187,1609586012172,25,9985
1609586014495,1609586024267,25,9772
1609586026424,1609586036352,25,9928
1609586039557,1609586049354,25,9797
1609586080687,1609586090190,25,9503
1609586101570,1609586110714,25,9144
